Area,BHK,Parking,Price
1750,3,1,17200000
1650,3,1,18000000
1850,3,1,15500000
1480,3,1,15800000
1214,2,1,12600000
1380,3,1,15000000
1600,4,1,19500000
1585,3,1,16600000
1700,3,1,17200000
1200,2,1,13000000
1800,4,1,16500000
1000,2,1,10700000
1500,3,1,16200000
1700,3,1,16500000
1750,3,1,14900000
2700,4,1,27500000
3050,5,,62500000
3405,5,3,70000000
1500,3,3,35500000
2105,3,3,42100000
2500,4,3,42500000
2090,3,2,44000000
2525,4,3,43200000
2500,4,2,52500000
2100,3,2,34300000
2022,3,2,38000000
2650,4,2,52500000
1850,3,2,37500000
2100,3,2,37000000
1700,3,2,40000000
2105,3,2,36200000
1250,2,1,29000000
2552,4,3,42500000
3112,5,3,60000000
2125,3,2,36500000
2065,3,2,42500000
3405,5,3,71500000
3050,5,3,65000000
2300,5,3,58000000
1455,2,2,27500000
3400,5,3,70000000
3100,5,3,65000000
1400,2,3,28600000
2126,3,2,39000000
1815,3,2,32500000
1700,3,2,34000000
700,2,,16500000
980,2,2,13800000
1350,3,2,21000000
1800,3,2,22500000
968.751,2,2,15000000
1250,3,2,20000000
1800,3,2,20000000
1400,3,2,26000000
1000,3,2,19500000
1800,4,1,21500000
1500,3,1,26500000
1600,3,2,20000000
1400,3,1,18000000
1400,3,1,19000000
2700,4,2,36500000
1100,2,2,15000000
1200,2,2,17500000
1400,2,2,14000000
1500,3,2,21000000
1320,3,2,15600000
1300,3,2,19000000
1150,2,1,16500000
1440,3,1,19000000
1400,2,1,16500000
450,1,1,3000000
1300,2,1,15000000
1200,2,1,14300000
1300,3,1,18500000
1400,3,1,19000000
1400,3,1,19000000
1500,3,1,13500000
1600,4,2,15800000
1200,10,2,17000000
1600,4,1,15500000
1250,3,2,16000000
950,2,2,12900000
1200,3,2,13500000
1400,4,2,17800000
950,2,2,13200000
1350,3,2,14000000
1550,4,2,17500000
1300,3,2,17000000
1000,2,2,13000000
1500,3,2,17000000
950,2,2,12700000
1200,3,2,13500000
1400,4,2,17400000
1500,4,2,17800000
1050,2,2,12700000
1550,4,2,16200000
950,2,2,11100000
1150,2,2,13600000
1150,2,2,13100000
1150,2,2,12500000
1500,3,2,13600000
1800,4,2,12000000
1300,3,1,20000000
1150,2,1,13500000
1500,3,1,14000000
1150,2,2,10800000
900,3,1,9000000
1150,3,1,6300000
1000,3,1,5500000
450,1,1,2350000
1350,3,1,8500000
445,1,1,1650000
1200,2,1,10000000
50,1,1,1500000
1100,2,1,2800000
700,2,1,2600000
500,1,1,2350000
540,1,1,2350000
450,1,1,2000000
800,2,1,5000000
700,2,1,3500000
750,2,1,4500000
750,2,1,4000000
1600,3,1,10800000
1000,3,1,10000000
1600,3,1,10800000
900,3,1,9000000
1700,3,1,8500000
1100,3,1,6000000
1000,3,1,5500000
1000,3,1,7000000
1100,3,1,6000000
765,3,1,3700000
900,2,1,3100000
600,2,1,4500000
360,1,1,1500000
950,3,,7090000
3600,2,1,4500000
1305,4,1,5500000
1800,3,2,63000000
950,3,2,6990000
800,2,1,4400000
1800,4,1,12500000
800,2,1,3000000
675,2,1,2800000
1175,3,4,5000000
1500,3,4,6000000
810,2,4,4500000
630,2,1,2800000
650,2,1,2500000
1800,4,1,8500000
725,2,1,3000000
900,3,1,4900000
750,2,1,3500000
700,2,1,3000000
950,3,1,7020000
1600,3,1,60000000
900,2,1,3500000
1500,3,1,7000000
500,2,2,7000000
1035,3,1,4500000
825,3,1,5990000
1300,3,1,4400000
765,2,4,2500000
580,1,1,1600000
1750,3,1,6500000
650,2,,2750000
405,1,,1500000
675,2,,2200000
850,2,1,2800000
800,3,1,4500000
405,1,1,1800000
1350,3,1,8500000
1350,3,1,8500000
450,1,1,1700000
1300,3,2,7000000
1050,3,2,5600000
1675,4,2,13500000
1250,3,2,8500000
1080,3,5,6000000
1170,3,5,7200000
1250,3,1,6500000
1500,3,1,8400000
1350,3,1,8500000
855,2,1,4000000
540,1,1,1700000
1044.0983,3,1,6000000
405,1,1,1600000
500,1,1,2100000
450,1,1,1700000
405,1,1,1500000
405,1,1,1200000
450,1,1,1650000
173,2,1,3500000
1100,3,1,8500000
600,2,1,3200000
800,3,1,4400000
990,4,1,7200000
1100,3,1,7500000
1100,3,1,6500000
527,2,1,3500000
1000,2,1,6500000
1000,3,1,6200000
450,1,1,2500000
600,2,1,3000000
950,3,1,6000000
855,3,1,4800000
770,2,1,3790000
810,3,1,4200000
710,2,1,2900000
950,3,1,5000000
450,1,1,2100000
500,2,1,3200000
600,2,1,3000000
420,1,1,2300000
900,3,1,5900000
945,3,1,5500000
565,2,1,3500000
450,2,1,1700000
430,1,1,1850000
550,2,1,2300000
810,3,1,3800000
720,3,1,4500000
360,2,1,2200000
820,3,1,5200000
459,2,1,2200000
378,1,2,1500000
450,1,2,2200000
900,2,2,3800000
360,1,1,1800000
559.7228,2,3,2850000
350,1,3,2500000
365,1,39,3500000
390,1,39,2000000
350,1,39,3000000
210,1,39,2000000
50,1,39,3500000
500,1,39,1800000
350,1,39,1600000
379,1,1,1600000
236.8058,1,1,2000000
445,1,1,1500000
452.0838,2,1,3000000
350,1,1,1490000
437,1,1,3500000
61,3,1,4000000
495,2,1,1750000
900,2,1,4600000
350,1,1,1800000
585,2,1,1900000
198,1,1,1000000
4900,1,1,1000000
2077.4327,1,1,1000000
50,1,1,3500000
990,3,1,5000000
425,1,1,2200000
750,2,,13000000
1400,3,2,34000000
3600,4,3,60000000
3000,4,4,74500000
2750,4,2,75000000
2050,4,2,62500000
3000,4,2,67000000
850,2,2,8500000
750,2,2,11500000
2600,4,3,52500000
800,2,1,12000000
550,2,2,10700000
700,2,1,9000000
2316,3,1,100000000
900,3,1,6200000
100,3,1,17000000
900,2,2,12500000
1500,2,3,13000000
650,3,3,4200000
2000,4,2,36000000
500,1,2,2300000
1125,2,2,8100000
1300,3,1,10000000
2500,4,1,62500000
2200,4,2,65000000
1290,3,2,20000000
2250,4,2,57500000
1350,3,2,30000000
1400,3,1,30000000
1700,3,2,30000000
450,1,,3300000
750,2,,7350000
1500,4,,12500000
400,1,1,3500000
650,2,1,6500000
900,2,2,6900000
400,1,1,3600000
900,3,2,13500000
1000,3,1,9200000
405,1,1,2500000
1700,3,1,17000000
800,3,1,9030000
1076.39,3,10,9300000
750,2,2,6500000
460,2,2,3300000
370,1,2,2400000
1800,3,1,15000000
1080,3,1,7000000
350,1,1,4200000
500,2,1,5800000
900,3,1,4800000
800,2,1,7500000
350,1,1,3000000
430.556,1,1,4300000
500,1,1,2600000
1450,2,1,7000000
800,2,1,6000000
1000,2,1,6700000
1000,3,1,9500000
1600,3,1,17000000
900,2,,8000000
1500,3,1,12000000
1050,2,1,9000000
1300,3,2,11500000
1600,4,1,20000000
900,2,1,8550000
1350,4,1,10500000
1000,3,2,12000000
1400,3,1,11000000
975,3,1,12000000
900,2,114,9000000
1100,2,114,10000000
950,2,114,8100000
1300,3,1,9200000
1459,3,1,14200000
1000,2,1,7500000
1100,2,1,9500000
1450,3,1,14000000
1450,3,1,11600000
1150,3,1,12000000
780,2,1,7500000
1300,3,2,9800000
1350,3,1,12000000
1200,3,1,12500000
1460,3,1,16500000
1460,3,1,12000000
1100,2,1,7200000
1500,3,2,15000000
1050,2,1,10000000
1350,3,1,11000000
1500,2,2,24700000
976,2,2,24900000
540,2,1,3600000
450,1,1,1700000
900,2,1,11000000
2500,4,2,75000000
979.5149,2,1,24800000
945,2,1,24900000
976,2,2,24900000
1531,2,2,25900000
1000,2,2,11700000
750,3,2,13500000
900,3,1,5500000
1512,2,1,30000000
35,3,2,4950000
1500,3,1,16000000
2907,4,1,30000000
2210,4,1,41000000
750,2,1,3800000
2518.7526,4,2,68900000
588,2,2,1800000
540,2,2,1500000
1100,3,2,12500000
550,2,2,1600000
750,3,1,2400000
1260,3,1,7000000
675,2,1,3100000
810,2,1,14500000
3150,4,3,61500000
2000,4,1,27500000
1775,3,1,25500000
1135,3,2,25000000
1252,2,1,18500000
2000,4,1,39700000
530,4,1,6800000
1332,3,1,6540000
1017,3,1,22000000
1775,3,1,25500000
987,2,1,17000000
1912,3,1,27500000
5236,5,3,73700000
2805,4,2,52300000
1500,3,2,16000000
1280,3,2,15000000
1775,3,1,25500000
675,2,1,10000000
576,2,1,5000000
1206,3,1,20000000
1143,2,1,16000000
345,1,1,5500000
720,2,1,7000000
468,2,1,4100000
1600,3,1,24000000
950,2,1,12500000
535,2,1,3900000
1200,3,1,14500000
1501,3,1,20000000
1135,3,2,24500000
1200,3,1,20900000
2200,3,1,43100000
1240,3,1,18000000
3002,4,2,50000000
1350,3,1,18500000
2300,4,3,46500000
1429,3,2,17500000
2430,4,2,42500000
1450,3,2,15500000
1250,2,2,15000000
2800,4,2,40000000
1646,3,1,20000000
900,2,1,6700000
1250,3,1,16000000
900,3,1,8000000
1590,3,2,25000000
990,3,2,25000000
2282,4,2,37500000
1260,3,1,25000000
1457,3,1,23000000
1400,3,2,17500000
2175,4,1,44000000
1450,3,2,15000000
2800,4,2,42500000
861.112,2,2,5000000
2282,4,2,38000000
1753,3,1,19000000
2659,4,3,43500000
1550,3,3,19500000
1470,3,2,14200000
702,3,2,14200000
1138,2,2,13500000
1600,3,2,21000000
1600,3,1,22500000
1250,2,1,19000000
810,3,1,7500000
585,2,1,4000000
1700,3,2,8000000
1800,3,2,19000000
600,1,2,7000000
1250,3,1,5800000
600,3,1,8000000
1600,3,1,18800000
1100,3,1,6000000
450,1,1,2200000
855,3,1,6500000
1291.668,3,1,23500000
1300,2,2,16000000
1350,3,2,20000000
900,2,2,5500000
850,2,1,13500000
1650,3,1,22500000
650,2,1,3800000
630,2,1,4600000
1250,2,2,17500000
1800,4,2,5500000
1500,3,2,22500000
1100,2,1,12500000
1400,3,2,19000000
1300,2,2,15500000
1100,2,2,13500000
1600,3,2,21000000
2250,4,2,50000000
2592,4,2,42500000
1800,4,2,45500000
1700,3,2,23000000
1640,3,1,12000000
2572,3,4,35000000
2100,3,1,25000000
1620,3,1,29000000
2500,4,2,80000000
2250,3,2,20500000
2445,4,1,52500000
2250,4,2,37500000
800,2,2,7500000
1450,3,2,32500000
1440,3,2,24500000
5220,5,2,65000000
1800,3,2,27500000
4455,5,1,115000000
195,3,1,28000000
807.2925,2,1,8000000
3500,4,3,75100000
1000,2,1,7800000
900,2,1,15000000
1800,3,1,27500000
17010,3,2,25000000
2340,4,1,26000000
1350,3,1,23500000
464,3,1,4200000
954,2,1,10000000
1155,2,1,18500000
700,2,,16500000
980,2,2,13800000
1350,3,2,21000000
1800,3,2,22500000
968.751,2,2,15000000
1250,3,2,20000000
1800,3,2,20000000
1400,3,2,26000000
1000,3,2,19500000
1800,4,1,21500000
1500,3,1,26500000
1600,3,2,20000000
1400,3,1,18000000
1400,3,1,19000000
2700,4,2,36500000
1100,2,2,15000000
1200,2,2,17500000
1400,2,2,14000000
1500,3,2,21000000
1320,3,2,15600000
1300,3,2,19000000
1150,2,1,16500000
1440,3,1,19000000
1400,2,1,16500000
450,1,1,3000000
1300,2,1,15000000
1200,2,1,14300000
1300,3,1,18500000
1400,3,1,19000000
1400,3,1,19000000
500,2,1,3300000
700,2,1,3800000
900,3,1,7000000
1260,3,2,16500000
950,3,1,8000000
405,1,1,5600000
1800,2,1,21000000
1300,3,2,21000000
1000,3,2,8600000
900,3,2,6600000
1800,3,2,14000000
720,2,2,4700000
1485,3,1,30000000
1600,3,2,26000000
1200,2,2,18500000
900,2,2,6500000
900,2,2,15000000
800,2,1,8000000
1150,2,2,16100000
900,3,1,6800000
1070,3,1,6800000
1050,2,1,9000000
1000,2,1,18000000
1550,3,2,27500000
1300,3,1,13500000
810,2,1,14000000
900,2,1,9000000
1200,2,1,16000000
1000,2,1,11000000
720,2,1,5500000
2520,3,,47500000
1700,3,2,45000000
1800,3,2,43500000
6000,5,3,180000000
1800,4,2,80000000
2000,3,2,37500000
2066,4,2,60000000
2050,3,2,71000000
1100,3,2,18500000
4500,4,2,70000000
4500,4,2,85000000
6500,4,3,190000000
4350,4,2,135000000
1750,3,2,35000000
